version,test_name,category,passed,latency_ms,total_tokens,cost_usd,confidence_score
v1.0,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,3337,5790,0.002895,8
v1.0,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,6192,4263,0.0021315,8
v1.0,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,3160,4270,0.0021349999999999997,8
v1.1,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,5140,6048,0.003024,8
v1.1,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,4213,4503,0.0022515,8
v1.1,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,3481,4502,0.002251,8
v1.2,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,4301,6284,0.003142,8
v1.2,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,4703,4764,0.002382,8
v1.2,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,3086,4711,0.0023555000000000004,8
v1.3,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,3269,5818,0.0029089999999999997,8
v1.3,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,3889,4280,0.00214,8
v1.3,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,3893,4269,0.0021345,8
v1.4,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,2977,5904,0.002952,8
v1.4,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,3879,4349,0.0021745000000000002,8
v1.4,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,3295,4353,0.0021765,8
v1.5,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,2556,6833,0.0034165000000000003,8
v1.5,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,2544,5324,0.002662,8
v1.5,PRAZO NO TEXTO - Não tem prazo explicito no texto; já retornou 0 anteriormente,Testes de Prazos,1,3029,5324,0.002662,8
